week,spend_google,spend_meta,spend_tiktok,spend_amazon,promo_flag,cash_sales,platform_reported_conversions
2023-01-02,17407,15088,NA,8487,0,148256.52131816826,NA
2023-01-09,17437,12054,NA,8736,0,166445.44830612393,3319
2023-01-16,13286,11636,1996,7397,0,168084.56248917466,3284
2023-01-23,13376,15304,1725,7194,0,182733.77633779027,2916
2023-01-30,11245,12920,2688,7424,0,185325.58301746,4077
2023-02-06,16707,13098,1581,6789,0,179217.78531316284,3134
2023-02-13,17255,12105,1960,7347,0,190792.1686497344,3403
2023-02-20,15287,15597,1844,8189,0,196747.63097977792,3479
2023-02-27,19147,14784,1507,7937,0,205194.77010402957,3765
2023-03-06,16071,10149,2138,7487,0,191278.4666386535,4063
2023-03-13,14508,13523,1484,7686,0,186211.66272593586,4579
2023-03-20,17672,11593,1643,8605,0,192863.02400825324,3609
2023-03-27,18281,11026,2234,8533,0,192025.31786306688,3566
2023-04-03,15403,10921,1729,8003,0,185737.18995306204,3534
2023-04-10,15832,12837,2369,6518,0,191639.60229913355,3988
2023-04-17,19544,17670,2568,8048,0,204179.7970742759,3848
2023-04-24,19301,12465,2474,8696,0,208905.44078332972,4509
2023-05-01,17422,13670,3417,9412,0,200073.5404051988,3382
2023-05-08,12356,15450,3976,7638,0,203311.81499003727,3985
2023-05-15,15921,9375,3743,8517,0,191146.6432067699,3679
2023-05-22,19983,10687,2595,7449,0,192016.155043049,4070
2023-05-29,17642,13062,3852,6707,0,196131.0246120933,3356
2023-06-05,16082,14039,4452,6269,0,192284.3038779117,4028
2023-06-12,15292,16106,4627,9203,0,200787.09393692182,4454
2023-06-19,16769,15377,3313,7629,0,200975.2928051097,3883
2023-06-26,15514,10809,6307,6837,0,194233.5807846304,3784
2023-07-03,22927,18401,3047,8745,1,223306.55534255385,4934
2023-07-10,16561,11169,5855,10932,0,213108.96947967305,3984
2023-07-17,14586,11900,5756,6445,0,197813.1288168405,3759
2023-07-24,14895,11770,6186,6777,0,189056.0332431055,3913
2023-07-31,13364,10274,5817,6544,0,179562.39079242968,3608
2023-08-07,13381,11694,7971,7288,0,177962.41875433552,3280
2023-08-14,16291,15036,6125,7709,0,200491.51343523554,3792
2023-08-21,18790,9573,6313,6390,0,188699.65522350316,3437
2023-08-28,14946,16919,10227,7274,0,198153.99591290715,3795
2023-09-04,14749,9702,8903,6982,0,194181.44270355976,3716
2023-09-11,13823,11633,7048,7185,0,185041.9917326661,4010
2023-09-18,14381,11542,6772,6639,0,184158.69124905765,3378
2023-09-25,13423,15790,5078,6496,0,190505.4808687168,3607
2023-10-02,15031,8830,9756,6997,0,182572.6381960033,3860
2023-10-09,15870,12470,7255,7546,0,189141.80357886554,3707
2023-10-16,13650,11319,6849,6863,0,181178.5327275571,3070
2023-10-23,14043,10076,8106,6984,0,181125.99043857612,3484
2023-10-30,15519,14090,7541,8257,0,190962.2284286798,3929
2023-11-06,14869,13971,11380,7856,0,201402.52650416625,3586
2023-11-13,17548,9053,7205,6907,0,190355.35382430127,3725
2023-11-20,21814,19749,7196,12300,1,235210.80636509374,5121
2023-11-27,22988,15932,8138,9861,1,246427.36626653332,5847
2023-12-04,18861,13849,11845,9728,0,218218.20126367372,4387
2023-12-11,18694,11769,9952,6813,0,215405.25152776283,4027
2023-12-18,17527,15284,10788,7859,0,213790.918502174,4511
2023-12-25,19313,15104,11649,8868,0,208281.1926821095,4163
2024-01-01,16956,12689,8431,9705,0,206270.26452652912,4221
2024-01-08,19433,15114,7512,9093,0,211651.9829135856,4288
2024-01-15,22603,12120,9675,10556,0,215723.7480504537,5157
2024-01-22,16777,14752,11095,8100,0,204138.30187005765,4313
2024-01-29,16376,14815,9752,8733,0,208955.55816726602,4364
2024-02-05,14571,12773,7864,6912,0,197601.51280068106,3996
2024-02-12,15973,15376,7666,9335,0,205976.71036018708,4572
2024-02-19,18250,14307,9878,8163,0,204035.5777592355,4371
2024-02-26,21259,10706,11969,8723,0,207253.2816223341,4799
2024-03-04,17808,16761,9529,8939,0,205604.9823125881,4678
2024-03-11,14593,14825,6515,8615,0,214238.55933173464,5021
2024-03-18,32766,18651,8071,11081,1,257379.79958363518,6465
2024-03-25,19430,10917,8993,10681,0,219022.98326141766,5048
2024-04-01,18236,16044,8443,8153,0,222981.92932458775,4476
2024-04-08,19382,16961,6548,7891,0,220440.2117155067,4947
2024-04-15,17101,14714,15038,7790,0,215694.50085346904,4541
2024-04-22,17635,12770,11808,10478,0,211225.773423729,4098
2024-04-29,17727,15778,10457,8527,0,217040.53309078925,5015
