"role","location"
"treatment","milwaukee"
"treatment","orlando"
"treatment","saint paul"
"control","atlanta"
"control","austin"
"control","baltimore"
"control","baton rouge"
"control","boston"
"control","chicago"
"control","cincinnati"
"control","cleveland"
"control","columbus"
"control","dallas"
"control","denver"
"control","detroit"
"control","honolulu"
"control","houston"
"control","indianapolis"
"control","jacksonville"
"control","kansas city"
"control","las vegas"
"control","los angeles"
"control","memphis"
"control","miami"
"control","minneapolis"
"control","nashville"
"control","new orleans"
"control","new york"
"control","oakland"
"control","oklahoma city"
"control","philadelphia"
"control","phoenix"
"control","portland"
"control","reno"
"control","salt lake city"
"control","san antonio"
"control","san diego"
"control","san francisco"
"control","tucson"
"control","washington"
