"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total"
"1","(Intercept)",754684.272246818,110938588.020282,0.418305988113566,754684.272246818,0.389548527599151,110938588.020282,0.418305988113566,754684.272246818,0.389548527599151,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.0199966141032647,5241170.53098013,0.019762402397194,35654.2212991846,0.0184037880747689,5241170.53098013,0.019762402397194,35654.2212991846,0.0184037880747689,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"3","season",0.275889779924163,-2440400.86911332,-0.00920179637369297,-16601.3664565532,-0.00856919654629984,-2440400.86911332,-0.00920179637369297,-16601.3664565532,-0.00856919654629984,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.583878508785327,3631480.09718465,0.0136928898904847,157890.439008028,0.0814989662557133,3631480.09718465,0.0136928898904847,157890.439008028,0.0814989662557133,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.100178018371112,79206913.993159,0.298658266835676,538822.544171149,0.278126279343547,79206913.993159,0.298658266835676,538822.544171149,0.278126279343547,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,NA,NA,NA,NA,NA,NA,NA
"7","tv_S",833637.69640391,22648673.2436125,0.0853992808967291,154072.607099405,0.0795283000402935,22648673.2436125,0.0853992808967291,154072.607099405,0.0795283000402935,TRUE,0.19058471587406,0.19058471587406,15277.6841723356,2245819.57333333,NA,NA,0.370576337243614,0.370576337243614,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,154072.607099405,29075.44850402,13797.7643316844,10.0848142533536,10.0848142533536,0.0991589904263692,0.0991589904263692
"8","ooh_S",361734.179449806,13644028.37679,0.0514462900046934,92816.5195699997,0.0479094899218282,13644028.37679,0.0514462900046934,92816.5195699997,0.0479094899218282,TRUE,0.677056601743156,0.677056601743156,54274.3256235828,7978325.86666667,NA,NA,0.223242836643631,0.223242836643631,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,92816.5195699997,88197.7223031925,33923.3966796098,1.71013676362788,1.71013676362788,0.584748554190836,0.584748554190836
"9","print_S",184697.327709951,8761519.40468764,0.0330362599466652,59602.1728210044,0.0307651020671317,8761519.40468764,0.0330362599466652,59602.1728210044,0.0307651020671317,TRUE,0.0483023616632638,0.0483023616632638,3872.02207105064,569187.244444444,NA,NA,0.143355495253731,0.143355495253731,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,59602.1728210044,5220.21265768182,1348.19058663118,15.3930354030321,15.3930354030321,0.0649644448815481,0.0649644448815481
"10","facebook_I",408024.155221522,6809715.0181822,0.0256767696460289,46324.5919604232,0.0239115577910341,6809715.0181822,0.0256767696460289,46324.5919604232,0.0239115577910341,TRUE,0.0255728323968936,0.0255728323968936,2049.97370833234,301346.135124854,7888925.57225707,7888925.57225707,0.111420179979968,0.111420179979968,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,46324.5919604232,2340.30669315246,290.332984820124,22.5976517514014,22.5976517514014,0.0442523856461317,0.0442523856461317
