"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","newsletter","intercept","depVarHat","solID"
"1",2016-01-04,2171506.66666667,34447.9850456163,205460.788912799,0,698678.365630894,0,179907.416540103,167197.728409551,88979.1962828718,77872.7200828132,53375.6189866535,60705.3087699117,754684.272246818,2321309.40090803,"1_145_1"
"2",2016-01-11,2464131.66666667,34471.9224291391,150980.961407224,0,746544.023876722,0,130084.3851065,118267.448435841,117634.573998271,122316.334115268,50688.5133807471,48332.048121035,754684.272246818,2274004.48311757,"1_145_1"
"3",2016-01-18,2012520,34495.8598126842,99964.3130293811,0,671549.95789996,0,79851.5618191258,77920.9806819146,82478.7306222917,66224.1639682471,38577.0023635192,45751.26132412,754684.272246818,1951498.10376806,"1_145_1"
"4",2016-01-25,1738911.66666667,34519.7971962292,71679.5289410701,0,554524.801823342,0,47701.2554575887,48591.4997545812,100486.785299341,49598.3536095494,25149.3278602,32413.2399120018,754684.272246818,1719348.86210072,"1_145_1"
"5",2016-02-01,1772306.66666667,34543.7345797742,59185.4909527357,0,548985.358119493,0,144485.841953085,85481.1038397472,65453.8865271067,577.454604272557,33050.258075817,16851.9102437071,754684.272246818,1743299.31114256,"1_145_1"
"6",2016-02-08,1809058.33333333,34567.6719633193,45093.8473511443,0,588297.716978776,0,89398.4603548367,53845.8720175719,79095.7917129456,43663.6825525651,24442.3324962135,14114.5168015184,754684.272246818,1727204.16447571,"1_145_1"
"7",2016-02-15,1952740,34591.6093468643,21080.731986747,0,583329.187801624,0,304152.006842153,32539.3206163407,69886.4621686035,13289.5657337542,1470.52766760712,30635.1347867941,754684.272246818,1845658.81919731,"1_145_1"
"8",2016-02-22,1507805,34615.5467304094,-10102.8086397041,0,503607.220247839,0,206423.612626543,19139.5701892397,40403.3024229385,140.643868259056,81.4208258858369,38220.6160063149,754684.272246818,1587213.39652454,"1_145_1"
"9",2016-02-29,1510391.66666667,34639.4841132445,-44162.6663440952,0,456963.834004157,0,275315.472051588,11072.2650580976,21075.0838009864,38742.1163320982,8889.5014964898,5008.46161176245,754684.272246818,1562227.82437115,"1_145_1"
"10",2016-03-07,1588840,34663.4214960796,-78777.2940622272,0,500510.517343951,0,183639.126136378,6342.36904349618,106976.748690264,437.949143599773,29967.1921956985,6126.33600240588,754684.272246818,1544570.63823646,"1_145_1"
"11",2016-03-14,1605990,34687.3588789148,-109085.811830393,0,494742.166868124,0,204064.013941263,82099.7575209296,71605.1626765133,4.49018615463764,17910.8654420825,3713.30238622444,754684.272246818,1554425.57831663,"1_145_1"
"12",2016-03-21,1356010,34711.2962617499,-128401.680024389,11157.9683203266,452843.011218461,0,130565.109655064,51482.7008670603,41660.0289873108,0.0459883814063665,20946.5990955005,4772.89344534199,754684.272246818,1374422.24606163,"1_145_1"
"13",2016-03-28,2103936.66666667,34735.2336445851,-138292.820952549,580316.031164727,451494.114201094,0,80167.804355779,102266.0217754,102427.248775731,173803.702332043,17759.2924675021,8141.70830442817,754684.272246818,2167502.60831556,"1_145_1"
"14",2016-04-04,1120835,34759.1710274202,-152977.475874626,0,374515.922392475,0,47898.261400199,65900.8000405674,67258.1626431097,5879.85353023717,11811.1679380823,8865.21939754559,754684.272246818,1218595.35474183,"1_145_1"
"15",2016-04-11,1141140,34783.1084102553,-185364.356186598,0,377563.538067361,0,28133.0214999813,104887.246160596,38511.8741809483,61.092019308063,10032.9908388263,2572.6587120295,754684.272246818,1165865.44594953,"1_145_1"
"16",2016-04-18,1166880,34807.0457903837,-227616.292636299,0,366990.649830455,0,110791.941891823,67833.6118247041,19963.2970851347,29223.7896109049,13860.6358019044,8975.16639233911,754684.272246818,1179514.11783817,"1_145_1"
"17",2016-04-25,888806.666666667,34830.9831705121,-253019.590363664,200161.520544463,296574.919649291,0,67296.4071337339,41742.5820954574,9752.34140316296,322.14251603562,9379.66414867152,5453.51052907607,754684.272246818,1167178.75307356,"1_145_1"
"18",2016-05-02,898873.333333333,34854.9205506405,-243795.86441612,-40876.7517320611,286698.468996101,0,39933.3307736783,24838.8744817612,99914.5072856468,3.30192039237493,7308.9531353409,3598.93265061134,754684.272246818,967162.94589281,"1_145_1"
"19",2016-05-09,889373.333333334,34878.8579307689,-214944.912688165,0,294670.134807982,0,23357.1208410994,88120.5695018596,64927.2950136717,0.033818093827297,8988.94709957654,1006.77944741332,754684.272246818,1055689.09801912,"1_145_1"
"20",2016-05-16,1915375,34902.7953108973,-202927.859315192,186967.179988705,304455.824176528,0,13544.2307618872,55705.4858233708,36864.5087214431,87518.6319604974,511.03344484958,20161.3437956022,754684.272246818,1292387.44691541,"1_145_1"
"21",2016-05-23,1006845,34926.7326910257,-227477.806137666,0,329834.322282555,0,7814.21459849764,130165.0010617,19006.2000590829,1137.93389412076,28.2012512814577,33663.352283173,754684.272246818,1083782.42423059,"1_145_1"
"22",2016-05-30,869198.333333334,34950.6700700215,-269138.597663541,0,290040.207332925,0,4495.04944437097,87213.6584258202,9257.27656138389,11.686824778982,6550.33709785715,15747.290190174,754684.272246818,933811.850530608,"1_145_1"
"23",2016-06-06,727250,34974.6074490172,-289783.310627832,0,243177.631585047,0,2581.32576273653,55065.0426021163,4376.81388906365,0.119698275216085,5275.96367223828,5048.06607098038,754684.272246818,815400.53234846,"1_145_1"
"24",2016-06-13,753730,34998.5448280129,-273436.016522914,0,252104.594980115,0,1480.89617924623,33328.2922794873,2039.43485586567,0.00122593393359522,9657.56491278349,5096.38432657987,754684.272246818,819953.969311928,"1_145_1"
"25",2016-06-20,999196.666666667,35022.4822070087,-240161.600747686,0,301771.554174274,0,155663.067498376,128164.172092052,943.76877404382,40404.1241448564,9681.67044850398,1313.16879470131,754684.272246818,1187486.67963295,"1_145_1"
"26",2016-06-27,845843.333333333,35046.4195860044,-217955.103733472,0,283169.197408887,0,96913.482469832,85628.9190396982,435.335473910784,458.778292149,7340.06206152559,1099.22865719677,754684.272246818,1046820.59150255,"1_145_1"
"27",2016-07-04,1126016.66666667,35070.3569650001,-208241.724767227,0,349598.744061047,0,126799.952804154,53949.6663095386,77307.6190731434,4.7039802795216,8730.15228693428,1340.87799114378,754684.272246818,1199244.62095083,"1_145_1"
"28",2016-07-11,1140978.33333333,35094.2943439959,-187498.538474387,0,381390.438547156,0,77695.3695103519,32606.3935530549,45946.5979695243,0.0481780808107723,14089.4108591814,4496.78616011581,754684.272246818,1158505.07289389,"1_145_1"
"29",2016-07-18,1242656.66666667,35118.2317166232,-141749.844407697,0,383131.23197239,0,63659.5347950988,176663.985084273,76964.0981384524,41073.793590179,9763.79487252609,4087.2232965858,754684.272246818,1403396.32130525,"1_145_1"
"30",2016-07-25,1293483.33333333,35142.1690892506,-89075.1954433796,0,431469.930820966,0,37702.4773919496,126768.659255453,45683.1507101893,467.223660791109,15979.5466875463,13146.0992442624,754684.272246818,1371968.33366385,"1_145_1"
"31",2016-08-01,1484843.33333333,35166.1064618779,-60090.8208014126,0,440450.08874379,0,192318.302695568,154201.716300204,24253.6940955456,97490.9441016838,19732.8070898743,14410.2149543665,754684.272246818,1672617.32588831,"1_145_1"
