"","ds","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","newsletter","type","solID"
"1",2016-01-04,26138.9827962565,270058.392223298,8182.31409664996,4111.67399534337,5406.68324719448,36613.6352295824,"adstockedMedia","1_145_1"
"2",2016-01-11,15310.0561652951,103182.556295571,25608.4687870904,5402.80467063872,5228.00109467471,32627.4842264311,"adstockedMedia","1_145_1"
"3",2016-01-18,7238.19534906451,39423.4737015149,6344.53438669186,3757.36377226387,4402.98268351564,31749.778281534,"adstockedMedia","1_145_1"
"4",2016-01-25,3422.03002690352,15062.7231432602,12815.7784850873,3220.46155233658,3412.9343168662,26841.0644977893,"adstockedMedia","1_145_1"
"5",2016-02-01,18129.6732348092,48232.4230600356,3175.1272583643,394.865928566507,4009.06609104088,19725.049652149,"adstockedMedia","1_145_1"
"6",2016-02-08,8571.23677872061,18428.4023417753,5550.19782769993,3015.05898757076,3357.00658666299,18173.4275089975,"adstockedMedia","1_145_1"
"7",2016-02-15,70328.6972561229,7041.03155770625,3823.46936722965,1685.39084773424,728.664487752054,26125.0473065338,"adstockedMedia","1_145_1"
"8",2016-02-22,33249.5742594961,2690.20203038607,947.26994724028,206.648460561568,158.162315742952,29066.8076607497,"adstockedMedia","1_145_1"
"9",2016-02-29,57275.8250688867,1027.85890177873,234.687470137827,2836.83109028492,1908.20272708021,11336.4797408829,"adstockedMedia","1_145_1"
"10",2016-03-07,27078.5166397499,392.719175003433,16564.2330417781,347.828385604841,3781.97988401988,12418.014239518,"adstockedMedia","1_145_1"
"11",2016-03-14,32574.456601722,44144.1815064323,4103.81218012213,42.6477932531114,2811.12037701146,9905.13589910575,"adstockedMedia","1_145_1"
"12",2016-03-21,15400.3537104819,16866.3875094209,1016.72527591479,5.22911396721504,3072.15687494815,11092.4780350461,"adstockedMedia","1_145_1"
"13",2016-03-28,7280.88567394292,72532.7580966014,13831.3173483421,6951.03136064441,2797.68560202934,14128.7440099461,"adstockedMedia","1_145_1"
"14",2016-04-04,3442.21289936649,27712.9524987593,3426.72844906845,1150.1724958756,2229.45617705358,14687.0329871911,"adstockedMedia","1_145_1"
"15",2016-04-11,1627.38850397968,77002.2925910694,848.976823242553,141.024484600992,2038.4892010095,8397.57610938155,"adstockedMedia","1_145_1"
"16",2016-04-18,11896.1201842665,29420.6498259696,210.335209549199,2464.20043740952,2435.65468559253,14769.7451788556,"adstockedMedia","1_145_1"
"17",2016-04-25,5624.17543476144,11240.8943559521,52.1108458616497,302.139546794381,1964.86167267035,11781.1760943462,"adstockedMedia","1_145_1"
"18",2016-05-02,2658.96349658679,4294.86454816985,12531.4883135946,37.0458118386995,1715.76948136748,9766.53293326737,"adstockedMedia","1_145_1"
"19",2016-05-09,1257.0886093778,51598.8269766761,3104.69396600972,4.54224608909703,1919.80206531809,5513.20084621387,"adstockedMedia","1_145_1"
"20",2016-05-16,594.318716242607,19714.6210694465,769.192324276467,4396.94764723068,416.708026152817,21441.3031361319,"adstockedMedia","1_145_1"
"21",2016-05-23,280.978392327558,131975.130226111,190.568487008159,539.116765521505,90.4497303118621,27334.0219817806,"adstockedMedia","1_145_1"
"22",2016-05-30,132.839257451134,50424.3959688216,47.2136123754738,66.1019666789589,1617.07096358489,19115.4229068623,"adstockedMedia","1_145_1"
"23",2016-06-06,62.802937172468,19265.900359138,11.6972392893378,8.10486758763561,1439.21388350476,11376.8916011175,"adstockedMedia","1_145_1"
"24",2016-06-13,29.6915911242568,7361.01860055476,2.89800758950409,0.993750744696314,1996.43330082696,11425.9649050811,"adstockedMedia","1_145_1"
"25",2016-06-20,20486.4240767494,126720.727741812,0.7179854819657,2897.93047297553,1999.15386961035,6210.11993559392,"adstockedMedia","1_145_1"
"26",2016-06-27,9685.44712510092,48416.8202157697,0.177881919350574,355.319878388993,1719.71975840579,5734.4796439734,"adstockedMedia","1_145_1"
"27",2016-07-04,14700.0401884686,18498.8558823805,5168.44407049728,43.5663371346296,1889.50144211514,6268.5130122199,"adstockedMedia","1_145_1"
"28",2016-07-11,6949.79570123506,7067.9500932121,1280.48933357133,5.34173809789023,2457.89785661293,10798.0825930772,"adstockedMedia","1_145_1"
"29",2016-07-18,5186.09552669181,322343.686929449,5097.90971138674,2922.27598895459,2008.40136347205,10342.830246248,"adstockedMedia","1_145_1"
"30",2016-07-25,2451.85073887555,123159.459512809,1263.0143462716,358.304920941831,2636.61047533511,17588.4062849463,"adstockedMedia","1_145_1"
"31",2016-08-01,29339.4244312786,211273.215375443,312.913591883513,4687.14982301137,2969.51669318122,18347.9605464445,"adstockedMedia","1_145_1"
"32",2016-08-08,13870.9148529513,80722.2107032234,885.302563046041,574.698917256408,3200.14015593973,23949.9632440387,"adstockedMedia","1_145_1"
"33",2016-08-15,35188.4868618383,30841.9374847693,219.334962998786,1402.12797238527,694.615404308914,28262.119279633,"adstockedMedia","1_145_1"
"34",2016-08-22,16636.1990572794,11783.9328175935,14034.0738808498,1182.24631113389,150.771696360765,29857.4331892133,"adstockedMedia","1_145_1"
"35",2016-08-29,31856.3211295503,164148.2126272,3476.96166696667,144.957106257489,3234.46159975177,13498.9774827123,"adstockedMedia","1_145_1"
"36",2016-09-05,36322.677984442,150527.059294363,3942.79995185169,353.840827193274,3245.76113072666,8180.04621853261,"adstockedMedia","1_145_1"
"37",2016-09-12,17172.4150462964,217628.35733209,976.834268473741,43.3849883079773,4249.47227769634,14273.268392358,"adstockedMedia","1_145_1"
"38",2016-09-19,8118.67006745971,115844.751474223,25778.6342947893,4731.56373941397,4619.08433807237,20560.5008477304,"adstockedMedia","1_145_1"
"39",2016-09-26,3838.29551560261,206636.84840759,6386.6931320663,580.144578400496,3617.32715495829,10492.5088367799,"adstockedMedia","1_145_1"
"40",2016-10-03,146351.286037181,200820.637527829,11395.4678183672,3767.95731622479,4160.27603385809,17948.7809827706,"adstockedMedia","1_145_1"
"41",2016-10-10,69191.0719651835,76728.5421735541,13547.0210582397,4450.82050337713,5292.79609371772,30738.2838221688,"adstockedMedia","1_145_1"
"42",2016-10-17,114101.081351902,59111.7899724975,3356.29364081967,5865.62977535901,5429.52565556129,37921.8546669833,"adstockedMedia","1_145_1"
"43",2016-10-24,53944.0161060081,181497.669630545,10192.5042775875,6257.78226047135,4863.76173779968,31757.4696499737,"adstockedMedia","1_145_1"
"44",2016-10-31,119498.110904853,69345.7194941894,2525.2073606313,6983.48339299979,5097.88866906943,25737.9099762354,"adstockedMedia","1_145_1"
"45",2016-11-07,56495.5909524473,169097.398104256,12169.4459198456,6402.70650606752,6030.8580030842,38947.9295057246,"adstockedMedia","1_145_1"
"46",2016-11-14,79034.0289605736,64607.8859304624,3014.99745054534,5306.47928144995,1309.04481241755,33810.7274457533,"adstockedMedia","1_145_1"
"47",2016-11-21,44322.2814333459,169703.190414047,8040.03655228577,7622.14971967349,284.138396234989,31910.1816781725,"adstockedMedia","1_145_1"
"48",2016-11-28,20954.4189692781,64839.3440184476,6134.86376854747,5589.14504685684,8686.69734549933,39746.4069166835,"adstockedMedia","1_145_1"
"49",2016-12-05,24161.1029074387,263854.02475966,1519.92118157572,2544.98043683529,9480.5208600777,65977.476203233,"adstockedMedia","1_145_1"
"50",2016-12-12,11422.739459919,100812.022686802,376.56262394063,2864.93679149585,8211.9248499825,44014.8536308067,"adstockedMedia","1_145_1"
"51",2016-12-19,5400.37337157396,373437.752107294,93.2939230454353,1574.5075565158,7343.87524871847,20736.6195271607,"adstockedMedia","1_145_1"
"52",2016-12-26,110274.169050028,142681.223725281,23.1137014771276,6129.60906084127,10673.1581395277,8230.66524037777,"adstockedMedia","1_145_1"
"53",2017-01-02,93189.0984221304,508210.926487386,28003.859785588,5790.24087124034,9101.8451088931,49551.9952725943,"adstockedMedia","1_145_1"
"54",2017-01-09,44057.3758515392,194174.682373692,6937.99589686235,5791.98608339134,9347.87786149858,40103.1258909251,"adstockedMedia","1_145_1"
