channel,metric,distribution,impressions,pct_of_impressions,spend,pct_of_spend,cpm,incremental_outcome,pct_of_contribution,roi,effectiveness,mroi,cpik
Channel0,mean,prior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,5.8694516e+07,4.312035,2.1613114,0.024104202,1.0221874,0.041115075
Channel0,mean,posterior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,2.7066276e+07,2.3704684,0.99666315,0.011115363,0.49405238,0.052801177
Channel0,median,prior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,3.8312956e+07,2.8146896,1.4108002,0.015734058,0.6033495,0.024817172
Channel0,median,posterior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,2.4605472e+07,2.1549506,0.9060488,0.010104778,0.428532,0.03863816
Channel0,ci_lo,prior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,7.3784225e+06,0.54206127,0.2716961,0.0030301115,0.121298485,0.0045589074
Channel0,ci_lo,posterior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,6.6745575e+06,0.5845586,0.24577762,0.0027410537,0.101865284,0.017045528
Channel0,ci_hi,prior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,2.0855618e+08,15.321734,7.679677,0.08564819,3.2492607,0.1288489
Channel0,ci_hi,posterior,2.4350333e+09,22.579243,2.7156896e+07,22.307161,11.152576,5.577459e+07,4.8847466,2.053791,0.022905063,1.0431362,0.14244504
Channel1,mean,prior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,4.651867e+07,3.4175293,1.5825685,0.017699197,0.72978735,0.03847533
Channel1,mean,posterior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,2.2689192e+07,1.9871225,0.77188796,0.008632678,0.37736285,0.081226245
Channel1,median,prior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,3.514963e+07,2.5822937,1.1957928,0.013373559,0.5280152,0.02927442
Channel1,median,posterior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,1.8181208e+07,1.5923128,0.6185259,0.0069174967,0.3175603,0.056597978
Channel1,ci_lo,prior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,1.1914959e+07,0.87534124,0.40534768,0.004533345,0.12958226,0.009145362
Channel1,ci_lo,posterior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,4.7687515e+06,0.41764787,0.16223322,0.001814391,0.07308581,0.018329194
Channel1,ci_hi,prior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,1.12671016e+08,8.277458,3.833075,0.04286851,1.8587879,0.08638371
Channel1,ci_hi,posterior,2.628293e+09,24.371275,2.9394418e+07,24.145103,11.183843,5.6149748e+07,4.917602,1.9102181,0.021363579,0.95566577,0.21578301
Channel2,mean,prior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,3.6768332e+07,2.7012124,1.325029,0.014835094,0.61541176,0.059233803
Channel2,mean,posterior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,3.37588e+07,2.9565997,1.2165736,0.013620828,0.6416319,0.03944936
Channel2,median,prior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,2.6450738e+07,1.9432229,0.9532112,0.010672208,0.42899433,0.03676194
Channel2,median,posterior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,3.0447684e+07,2.6666121,1.09725,0.012284875,0.5682962,0.03190642
Channel2,ci_lo,prior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,4.9659325e+06,0.3648259,0.17895843,0.002003629,0.09208584,0.009946236
Channel2,ci_lo,posterior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,1.1422029e+07,1.0003427,0.41161823,0.0046085017,0.17339924,0.015405394
Channel2,ci_hi,prior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,9.766983e+07,7.175386,3.5197499,0.039407324,1.8593504,0.1957274
Channel2,ci_hi,posterior,2.478469e+09,22.982008,2.7749084e+07,22.793596,11.196058,6.3061704e+07,5.5229526,2.272569,0.025443813,1.3882686,0.085063666
Channel3,mean,prior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,7.328417e+07,5.383876,1.9573604,0.022600489,0.9231478,0.035582818
Channel3,mean,posterior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,2.6891614e+07,2.3551698,0.71825266,0.008293242,0.3332735,0.06882168
Channel3,median,prior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,4.7762624e+07,3.5089164,1.2757006,0.014729762,0.60282624,0.027444161
Channel3,median,posterior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,2.2878128e+07,2.0036695,0.6110561,0.0070555042,0.26006466,0.05729142
Channel3,ci_lo,prior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,1.2307737e+07,0.9041969,0.3287296,0.0037956464,0.1255502,0.0060810675
Channel3,ci_lo,posterior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,8.3628935e+06,0.73242337,0.22336604,0.002579076,0.076418445,0.024111493
Channel3,ci_hi,prior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,2.1554957e+08,15.835507,5.7571526,0.06647444,2.695819,0.106503524
Channel3,ci_hi,posterior,3.242593e+09,30.06747,3.7440308e+07,30.75414,11.54641,5.436123e+07,4.7609644,1.451944,0.016764741,0.7816715,0.15673104
All Channels,mean,prior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,2.1526563e+08,15.814652,1.768231,,,0.02558745
All Channels,mean,posterior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,1.1040591e+08,9.66936,0.9068937,,,0.039720096
All Channels,median,prior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,1.9418288e+08,14.265789,1.595053,,,0.021948267
All Channels,median,posterior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,1.1117813e+08,9.736996,0.9132371,,,0.03833376
All Channels,ci_lo,prior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,9.023153e+07,6.6289253,0.741178,,,0.00978434
All Channels,ci_lo,posterior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,7.951287e+07,6.963748,0.65313303,,,0.030345127
All Channels,ci_hi,prior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,4.3558326e+08,32.00045,3.5779593,,,0.047234375
All Channels,ci_hi,posterior,1.0784389e+10,100.0,1.217407e+08,100.0,11.288605,1.4044866e+08,12.300511,1.1536704,,,0.05360096
