spend_multiplier,channel,metric,spend,incremental_outcome
0.0,Channel0,mean,0.0,0.0
0.0,Channel0,ci_lo,0.0,0.0
0.0,Channel0,ci_hi,0.0,0.0
0.0,Channel1,mean,0.0,0.0
0.0,Channel1,ci_lo,0.0,0.0
0.0,Channel1,ci_hi,0.0,0.0
0.0,Channel2,mean,0.0,0.0
0.0,Channel2,ci_lo,0.0,0.0
0.0,Channel2,ci_hi,0.0,0.0
0.0,Channel3,mean,0.0,0.0
0.0,Channel3,ci_lo,0.0,0.0
0.0,Channel3,ci_hi,0.0,0.0
0.2,Channel0,mean,5.4313795e+06,9585576.0
0.2,Channel0,ci_lo,5.4313795e+06,2188990.25
0.2,Channel0,ci_hi,5.4313795e+06,21220576.0
0.2,Channel1,mean,5.8788835e+06,7991654.5
0.2,Channel1,ci_lo,5.8788835e+06,1613599.625
0.2,Channel1,ci_hi,5.8788835e+06,21690904.0
0.2,Channel2,mean,5.549817e+06,11349503.0
0.2,Channel2,ci_lo,5.549817e+06,3633817.5
0.2,Channel2,ci_hi,5.549817e+06,21341792.0
0.2,Channel3,mean,7.4880615e+06,10043457.0
0.2,Channel3,ci_lo,7.4880615e+06,2768364.25
0.2,Channel3,ci_hi,7.4880615e+06,23069206.0
0.4,Channel0,mean,1.0862759e+07,15828129.0
0.4,Channel0,ci_lo,1.0862759e+07,3895065.5
0.4,Channel0,ci_hi,1.0862759e+07,33567360.0
0.4,Channel1,mean,1.1757767e+07,13276877.0
0.4,Channel1,ci_lo,1.1757767e+07,2782534.75
0.4,Channel1,ci_hi,1.1757767e+07,35671392.0
0.4,Channel2,mean,1.1099634e+07,19146708.0
0.4,Channel2,ci_lo,1.1099634e+07,6472963.0
0.4,Channel2,ci_hi,1.1099634e+07,36812316.0
0.4,Channel3,mean,1.4976123e+07,16206452.0
0.4,Channel3,ci_lo,1.4976123e+07,5099846.5
0.4,Channel3,ci_hi,1.4976123e+07,33294344.0
0.6000000000000001,Channel0,mean,1.6294138e+07,20460734.0
0.6000000000000001,Channel0,ci_lo,1.6294138e+07,5088975.5
0.6000000000000001,Channel0,ci_hi,1.6294138e+07,42516708.0
0.6000000000000001,Channel1,mean,1.7636652e+07,17181676.0
0.6000000000000001,Channel1,ci_lo,1.7636652e+07,3629463.0
0.6000000000000001,Channel1,ci_hi,1.7636652e+07,42670724.0
0.6000000000000001,Channel2,mean,1.6649451e+07,25091886.0
0.6000000000000001,Channel2,ci_lo,1.6649451e+07,8586928.0
0.6000000000000001,Channel2,ci_hi,1.6649451e+07,47411584.0
0.6000000000000001,Channel3,mean,2.2464186e+07,20668350.0
0.6000000000000001,Channel3,ci_lo,2.2464186e+07,6749985.5
0.6000000000000001,Channel3,ci_hi,2.2464186e+07,40780056.0
0.8,Channel0,mean,2.1725518e+07,24101634.0
0.8,Channel0,ci_lo,2.1725518e+07,6268398.5
0.8,Channel0,ci_hi,2.1725518e+07,49320020.0
0.8,Channel1,mean,2.3515534e+07,20227996.0
0.8,Channel1,ci_lo,2.3515534e+07,4235456.0
0.8,Channel1,ci_hi,2.3515534e+07,51487876.0
0.8,Channel2,mean,2.2199268e+07,29844080.0
0.8,Channel2,ci_lo,2.2199268e+07,10152302.0
0.8,Channel2,ci_hi,2.2199268e+07,55017644.0
0.8,Channel3,mean,2.9952246e+07,24118036.0
0.8,Channel3,ci_lo,2.9952246e+07,7676698.5
0.8,Channel3,ci_hi,2.9952246e+07,48527696.0
1.0,Channel0,mean,2.7156896e+07,27066276.0
1.0,Channel0,ci_lo,2.7156896e+07,6674557.5
1.0,Channel0,ci_hi,2.7156896e+07,55774592.0
1.0,Channel1,mean,2.9394418e+07,22689192.0
1.0,Channel1,ci_lo,2.9394418e+07,4768751.5
1.0,Channel1,ci_hi,2.9394418e+07,56149748.0
1.0,Channel2,mean,2.7749084e+07,33758800.0
1.0,Channel2,ci_lo,2.7749084e+07,11422029.0
1.0,Channel2,ci_hi,2.7749084e+07,63061704.0
1.0,Channel3,mean,3.7440308e+07,26891614.0
1.0,Channel3,ci_lo,3.7440308e+07,8362893.5
1.0,Channel3,ci_hi,3.7440308e+07,54361232.0
1.2000000000000002,Channel0,mean,3.2588276e+07,29541008.0
1.2000000000000002,Channel0,ci_lo,3.2588276e+07,7008106.5
1.2000000000000002,Channel0,ci_hi,3.2588276e+07,62239580.0
1.2000000000000002,Channel1,mean,3.5273304e+07,24728166.0
1.2000000000000002,Channel1,ci_lo,3.5273304e+07,5207034.0
1.2000000000000002,Channel1,ci_hi,3.5273304e+07,60688392.0
1.2000000000000002,Channel2,mean,3.3298902e+07,37054300.0
1.2000000000000002,Channel2,ci_lo,3.3298902e+07,12462360.0
1.2000000000000002,Channel2,ci_hi,3.3298902e+07,69857784.0
