date,channel,spend,platform_reported_conversions
2024-01-01,Google,4180.01,35
2024-01-01,Meta,5429.65,37
2024-01-01,TikTok,1864.69,17
2024-01-01,Microsoft,863.41,6
2024-01-02,Google,4294.11,28
2024-01-02,Meta,4862.55,34
2024-01-02,TikTok,1730.75,11
2024-01-02,Microsoft,1002.44,5
2024-01-03,Google,3859.27,33
2024-01-03,Meta,4678.04,32
2024-01-03,TikTok,1848.96,12
2024-01-03,Microsoft,869.97,8
2024-01-04,Google,4396.49,39
2024-01-04,Meta,4718.02,42
2024-01-04,TikTok,1720.75,18
2024-01-04,Microsoft,839.41,12
2024-01-05,Google,4098.51,23
2024-01-05,Meta,4612.4,29
2024-01-05,TikTok,1701.45,9
2024-01-05,Microsoft,846.89,9
2024-01-06,Google,3215.4,35
2024-01-06,Meta,3888.09,36
2024-01-06,TikTok,1402.64,17
2024-01-06,Microsoft,704.66,6
2024-01-07,Google,3109.81,34
2024-01-07,Meta,3817.27,33
2024-01-07,TikTok,1518.03,11
2024-01-07,Microsoft,732.68,12
2024-01-08,Google,4571.41,32
2024-01-08,Meta,5847.66,29
2024-01-08,TikTok,1855.48,11
2024-01-08,Microsoft,1033.12,8
2024-01-09,Google,3942.37,42
2024-01-09,Meta,4999.09,42
2024-01-09,TikTok,1878.64,16
2024-01-09,Microsoft,898.76,6
2024-01-10,Google,3438.69,30
2024-01-10,Meta,4169.77,31
2024-01-10,TikTok,1670.51,16
2024-01-10,Microsoft,757.69,7
2024-01-11,Google,4139.19,34
2024-01-11,Meta,4771.01,21
2024-01-11,TikTok,1912.77,13
2024-01-11,Microsoft,859.98,4
2024-01-12,Google,3853.41,27
2024-01-12,Meta,4530.18,31
2024-01-12,TikTok,1598.46,13
2024-01-12,Microsoft,823.05,8
2024-01-13,Google,3292.95,40
2024-01-13,Meta,4002.49,42
2024-01-13,TikTok,1398.31,16
2024-01-13,Microsoft,651.09,9
2024-01-14,Google,2742.26,24
2024-01-14,Meta,3794.8,32
2024-01-14,TikTok,1178.44,14
2024-01-14,Microsoft,614.41,9
2024-01-15,Google,4163.62,28
2024-01-15,Meta,4764.58,38
2024-01-15,TikTok,1720.37,17
2024-01-15,Microsoft,842.33,8
2024-01-16,Google,3909.31,20
2024-01-16,Meta,4639.23,21
2024-01-16,TikTok,1835.47,10
2024-01-16,Microsoft,994.59,5
2024-01-17,Google,4495.77,39
2024-01-17,Meta,4761.94,38
2024-01-17,TikTok,1684.86,22
2024-01-17,Microsoft,811.88,11
2024-01-18,Google,4074.88,32
2024-01-18,Meta,5520.75,34
2024-01-18,TikTok,1970.6,18
2024-01-18,Microsoft,933.81,8
2024-01-19,Google,4127.81,22
2024-01-19,Meta,5656.01,27
2024-01-19,TikTok,1884.47,12
2024-01-19,Microsoft,913.05,8
2024-01-20,Google,2945.8,34
2024-01-20,Meta,3464.66,37
2024-01-20,TikTok,1242.43,17
2024-01-20,Microsoft,561.24,8
2024-01-21,Google,3666.44,45
2024-01-21,Meta,4164.26,42
2024-01-21,TikTok,1356.5,25
2024-01-21,Microsoft,688.72,10
2024-01-22,Google,4071.59,23
2024-01-22,Meta,4734.41,33
2024-01-22,TikTok,1751.99,5
2024-01-22,Microsoft,847.16,6
2024-01-23,Google,3806.36,37
2024-01-23,Meta,5058.38,33
2024-01-23,TikTok,1658.73,20
2024-01-23,Microsoft,852.65,12
2024-01-24,Google,4432.44,29
2024-01-24,Meta,5126.48,42
2024-01-24,TikTok,1851.83,14
2024-01-24,Microsoft,1033.52,12
2024-01-25,Google,3826.65,37
2024-01-25,Meta,5276.41,43
2024-01-25,TikTok,1812.06,17
2024-01-25,Microsoft,793.87,17
2024-01-26,Google,3995.28,25
2024-01-26,Meta,4484.67,33
2024-01-26,TikTok,1787.98,11
2024-01-26,Microsoft,852.0,6
2024-01-27,Google,3233.77,27
2024-01-27,Meta,3869.58,33
2024-01-27,TikTok,1307.58,16
2024-01-27,Microsoft,627.75,7
2024-01-28,Google,3371.95,44
2024-01-28,Meta,3767.3,44
2024-01-28,TikTok,1358.3,17
2024-01-28,Microsoft,712.72,11
2024-01-29,Google,4007.88,42
2024-01-29,Meta,4397.97,43
2024-01-29,TikTok,1655.59,8
2024-01-29,Microsoft,860.42,8
2024-01-30,Google,4777.04,39
2024-01-30,Meta,5325.8,32
2024-01-30,TikTok,1757.81,10
2024-01-30,Microsoft,1020.22,6
2024-01-31,Google,4400.72,32
2024-01-31,Meta,5404.6,29
2024-01-31,TikTok,1952.98,12
2024-01-31,Microsoft,951.37,8
2024-02-01,Google,4230.96,29
2024-02-01,Meta,4992.7,29
2024-02-01,TikTok,1673.1,19
2024-02-01,Microsoft,949.09,8
2024-02-02,Google,4671.75,38
2024-02-02,Meta,5541.55,31
2024-02-02,TikTok,1782.76,12
2024-02-02,Microsoft,893.79,9
2024-02-03,Google,3624.67,33
2024-02-03,Meta,4170.2,47
2024-02-03,TikTok,1568.4,21
2024-02-03,Microsoft,661.06,6
2024-02-04,Google,2686.96,36
2024-02-04,Meta,3228.06,32
2024-02-04,TikTok,1112.12,25
2024-02-04,Microsoft,581.2,8
2024-02-05,Google,4505.45,33
2024-02-05,Meta,5006.72,39
2024-02-05,TikTok,1632.17,17
2024-02-05,Microsoft,863.51,12
2024-02-06,Google,4468.05,33
2024-02-06,Meta,4992.47,32
2024-02-06,TikTok,1985.29,18
2024-02-06,Microsoft,908.3,11
2024-02-07,Google,4041.18,32
2024-02-07,Meta,4142.68,27
2024-02-07,TikTok,1474.98,15
2024-02-07,Microsoft,774.3,9
2024-02-08,Google,4603.47,37
2024-02-08,Meta,6060.66,31
2024-02-08,TikTok,2049.49,17
2024-02-08,Microsoft,906.49,10
2024-02-09,Google,4433.94,33
2024-02-09,Meta,4819.74,27
2024-02-09,TikTok,1839.27,14
2024-02-09,Microsoft,913.25,4
2024-02-10,Google,2881.69,28
2024-02-10,Meta,4034.55,26
2024-02-10,TikTok,1424.94,10
2024-02-10,Microsoft,629.23,1
2024-02-11,Google,3017.53,35
2024-02-11,Meta,3438.26,37
2024-02-11,TikTok,1146.27,8
2024-02-11,Microsoft,677.8,7
2024-02-12,Google,3680.56,35
2024-02-12,Meta,4843.06,35
2024-02-12,TikTok,1673.48,14
2024-02-12,Microsoft,789.21,8
2024-02-13,Google,4211.59,38
2024-02-13,Meta,4249.46,35
2024-02-13,TikTok,1596.11,12
2024-02-13,Microsoft,871.94,14
2024-02-14,Google,4367.6,32
2024-02-14,Meta,4606.43,27
2024-02-14,TikTok,1690.44,10
2024-02-14,Microsoft,932.0,8
2024-02-15,Google,3862.76,35
2024-02-15,Meta,5264.14,27
2024-02-15,TikTok,1652.72,13
2024-02-15,Microsoft,865.01,7
2024-02-16,Google,5126.96,21
2024-02-16,Meta,5374.81,33
2024-02-16,TikTok,1833.63,16
2024-02-16,Microsoft,957.22,5
2024-02-17,Google,2982.37,29
2024-02-17,Meta,3563.06,33
2024-02-17,TikTok,1257.95,4
2024-02-17,Microsoft,685.21,6
2024-02-18,Google,2781.87,40
2024-02-18,Meta,3125.18,37
2024-02-18,TikTok,1147.24,14
2024-02-18,Microsoft,648.25,9
2024-02-19,Google,4000.97,25
2024-02-19,Meta,4539.64,20
2024-02-19,TikTok,1831.12,12
2024-02-19,Microsoft,777.26,9
2024-02-20,Google,3915.97,30
2024-02-20,Meta,4410.47,39
2024-02-20,TikTok,1525.82,15
2024-02-20,Microsoft,826.73,7
2024-02-21,Google,4530.53,40
2024-02-21,Meta,5284.98,35
2024-02-21,TikTok,1817.26,9
2024-02-21,Microsoft,975.81,8
2024-02-22,Google,4211.87,28
2024-02-22,Meta,4883.42,34
2024-02-22,TikTok,1817.05,19
2024-02-22,Microsoft,896.95,7
2024-02-23,Google,4210.57,26
2024-02-23,Meta,4681.54,33
2024-02-23,TikTok,1710.62,15
2024-02-23,Microsoft,824.45,6
2024-02-24,Google,3295.67,26
2024-02-24,Meta,3843.32,30
2024-02-24,TikTok,1369.03,17
2024-02-24,Microsoft,621.84,13
2024-02-25,Google,3104.33,29
2024-02-25,Meta,3836.58,33
2024-02-25,TikTok,1334.76,13
2024-02-25,Microsoft,707.52,3
2024-02-26,Google,4441.97,39
2024-02-26,Meta,4576.56,48
2024-02-26,TikTok,1686.38,17
2024-02-26,Microsoft,818.22,5
2024-02-27,Google,3833.63,28
2024-02-27,Meta,4624.62,27
2024-02-27,TikTok,1664.9,14
2024-02-27,Microsoft,873.23,8
2024-02-28,Google,4162.76,28
2024-02-28,Meta,4584.74,26
2024-02-28,TikTok,1618.29,16
2024-02-28,Microsoft,871.68,10
2024-02-29,Google,3968.86,22
2024-02-29,Meta,5097.98,27
2024-02-29,TikTok,1628.85,9
2024-02-29,Microsoft,830.02,4
2024-03-01,Google,4203.39,32
2024-03-01,Meta,5635.47,40
2024-03-01,TikTok,1720.93,15
2024-03-01,Microsoft,992.37,5
2024-03-02,Google,2929.23,36
2024-03-02,Meta,3413.47,44
2024-03-02,TikTok,1388.08,22
2024-03-02,Microsoft,687.23,9
2024-03-03,Google,2915.63,40
2024-03-03,Meta,3453.51,42
2024-03-03,TikTok,1245.82,20
2024-03-03,Microsoft,624.02,12
2024-03-04,Google,3550.77,35
2024-03-04,Meta,4394.55,31
2024-03-04,TikTok,1658.1,18
2024-03-04,Microsoft,838.62,5
2024-03-05,Google,4443.32,34
2024-03-05,Meta,4816.66,33
2024-03-05,TikTok,1814.82,8
2024-03-05,Microsoft,870.71,7
2024-03-06,Google,4318.3,23
2024-03-06,Meta,5102.3,23
2024-03-06,TikTok,1835.9,11
2024-03-06,Microsoft,920.11,5
2024-03-07,Google,4506.01,28
2024-03-07,Meta,5902.38,27
2024-03-07,TikTok,2121.31,9
2024-03-07,Microsoft,1062.14,6
2024-03-08,Google,4367.87,28
2024-03-08,Meta,5591.69,26
2024-03-08,TikTok,1953.66,17
2024-03-08,Microsoft,944.21,8
2024-03-09,Google,3036.74,38
2024-03-09,Meta,3929.31,51
2024-03-09,TikTok,1485.36,17
2024-03-09,Microsoft,739.2,4
2024-03-10,Google,2827.13,45
2024-03-10,Meta,3267.89,47
2024-03-10,TikTok,1233.92,30
2024-03-10,Microsoft,681.72,9
2024-03-11,Google,4832.79,41
2024-03-11,Meta,5401.56,34
2024-03-11,TikTok,2134.76,24
2024-03-11,Microsoft,1061.23,17
2024-03-12,Google,3570.51,35
2024-03-12,Meta,5071.52,29
2024-03-12,TikTok,1518.62,19
2024-03-12,Microsoft,779.52,5
2024-03-13,Google,4121.6,30
