date,sends,clicks,attributed_revenue
2024-01-01,23610,500,991.36
2024-01-02,22144,450,996.09
2024-01-03,20481,559,1214.81
2024-01-04,23073,519,1265.23
2024-01-05,23618,643,639.39
2024-01-06,13070,304,760.08
2024-01-07,13857,335,644.31
2024-01-08,23472,625,670.54
2024-01-09,23744,535,1224.57
2024-01-10,23803,491,1127.92
2024-01-11,24246,561,1235.53
2024-01-12,24026,659,484.88
2024-01-13,12848,252,1133.57
2024-01-14,13557,271,671.17
2024-01-15,23001,592,792.2
2024-01-16,25133,565,868.24
2024-01-17,23769,658,883.03
2024-01-18,23242,499,1067.76
2024-01-19,21854,432,1113.25
2024-01-20,14855,283,1479.02
2024-01-21,12817,280,1576.82
2024-01-22,26073,620,842.96
2024-01-23,26133,501,870.13
2024-01-24,21855,626,1297.79
2024-01-25,23992,474,1044.39
2024-01-26,23920,477,725.99
2024-01-27,13019,280,766.29
2024-01-28,12252,299,1128.86
2024-01-29,21684,509,1155.21
2024-01-30,21534,495,1011.03
2024-01-31,27111,720,910.24
2024-02-01,26715,506,747.83
2024-02-02,22606,475,1016.81
2024-02-03,12990,248,1144.23
2024-02-04,13950,261,1109.72
2024-02-05,22826,642,893.43
2024-02-06,23176,601,989.24
2024-02-07,22787,432,742.23
2024-02-08,22065,472,848.51
2024-02-09,24413,630,1016.17
2024-02-10,13000,362,1319.21
2024-02-11,13843,304,996.67
2024-02-12,24339,589,1396.6
2024-02-13,27076,697,668.09
2024-02-14,23225,455,574.33
2024-02-15,25491,736,734.94
2024-02-16,23684,559,857.32
2024-02-17,13833,343,563.47
2024-02-18,13176,326,1206.22
2024-02-19,23190,593,825.15
2024-02-20,25685,498,834.85
2024-02-21,24529,517,1295.34
2024-02-22,24322,527,806.86
2024-02-23,23633,601,842.41
2024-02-24,14198,283,638.93
2024-02-25,13703,361,1250.11
2024-02-26,23186,501,1502.96
2024-02-27,22483,539,959.19
2024-02-28,23286,453,352.87
2024-02-29,27732,579,719.27
2024-03-01,22816,480,605.78
2024-03-02,15476,407,1091.84
2024-03-03,12702,299,1242.75
2024-03-04,23002,590,762.57
2024-03-05,24737,508,1714.64
2024-03-06,23885,631,1093.97
2024-03-07,22084,586,1226.18
2024-03-08,23260,595,879.19
2024-03-09,13792,372,1254.68
2024-03-10,12607,275,1501.66
2024-03-11,23828,602,1120.03
2024-03-12,20634,361,770.48
2024-03-13,24246,569,607.2
2024-03-14,23503,527,1212.52
2024-03-15,24609,484,1485.31
2024-03-16,13159,243,1509.62
2024-03-17,12732,343,1117.56
2024-03-18,23254,619,825.9
2024-03-19,24460,521,721.46
2024-03-20,23904,615,1622.99
2024-03-21,22681,489,832.59
2024-03-22,23891,540,813.85
2024-03-23,12153,271,1734.55
2024-03-24,13164,251,1337.72
2024-03-25,22178,400,553.21
2024-03-26,25168,459,945.69
2024-03-27,22486,528,774.44
2024-03-28,26026,642,973.36
2024-03-29,25675,633,926.84
2024-03-30,11746,278,934.24
