order_id,order_date,gross,returns,net_cash,last_click_channel
ORD-000001,2024-01-01,72.91,0.0,72.91,Microsoft
ORD-000002,2024-01-01,36.31,0.0,36.31,Google
ORD-000003,2024-01-01,87.58,0.0,87.58,Direct
ORD-000004,2024-01-01,57.87,0.0,57.87,Meta
ORD-000005,2024-01-01,78.51,0.0,78.51,Email
ORD-000006,2024-01-01,74.93,0.0,74.93,Google
ORD-000007,2024-01-01,76.08,0.0,76.08,Direct
ORD-000008,2024-01-01,69.54,0.0,69.54,Email
ORD-000009,2024-01-01,91.99,0.0,91.99,Google
ORD-000010,2024-01-01,51.84,0.0,51.84,Direct
ORD-000011,2024-01-01,59.35,0.0,59.35,Meta
ORD-000012,2024-01-01,53.29,0.0,53.29,Meta
ORD-000013,2024-01-01,121.62,0.0,121.62,Google
ORD-000014,2024-01-01,89.37,0.0,89.37,Microsoft
ORD-000015,2024-01-01,58.76,0.0,58.76,Google
ORD-000016,2024-01-01,31.85,0.0,31.85,Google
ORD-000017,2024-01-01,69.14,0.0,69.14,Meta
ORD-000018,2024-01-01,87.68,0.0,87.68,Direct
ORD-000019,2024-01-01,65.56,61.24,4.32,Meta
ORD-000020,2024-01-01,37.17,0.0,37.17,Direct
ORD-000021,2024-01-01,66.87,0.0,66.87,Meta
ORD-000022,2024-01-01,46.73,0.0,46.73,Meta
ORD-000023,2024-01-01,62.06,0.0,62.06,Microsoft
ORD-000024,2024-01-01,53.55,0.0,53.55,Google
ORD-000025,2024-01-01,69.72,0.0,69.72,Email
ORD-000026,2024-01-01,55.62,0.0,55.62,Meta
ORD-000027,2024-01-01,80.28,0.0,80.28,Meta
ORD-000028,2024-01-01,79.71,0.0,79.71,Meta
ORD-000029,2024-01-01,80.81,0.0,80.81,Direct
ORD-000030,2024-01-01,36.81,0.0,36.81,Google
ORD-000031,2024-01-01,78.73,0.0,78.73,Meta
ORD-000032,2024-01-01,64.43,0.0,64.43,Direct
ORD-000033,2024-01-01,51.44,37.07,14.37,Email
ORD-000034,2024-01-01,73.57,0.0,73.57,Google
ORD-000035,2024-01-01,54.97,0.0,54.97,Email
ORD-000036,2024-01-01,82.21,0.0,82.21,Google
ORD-000037,2024-01-01,48.87,0.0,48.87,Meta
ORD-000038,2024-01-01,57.98,22.0,35.98,Meta
ORD-000039,2024-01-01,41.72,0.0,41.72,Meta
ORD-000040,2024-01-01,51.45,0.0,51.45,Meta
ORD-000041,2024-01-01,73.43,0.0,73.43,Meta
ORD-000042,2024-01-01,63.34,59.79,3.55,Meta
ORD-000043,2024-01-01,94.5,0.0,94.5,Google
ORD-000044,2024-01-01,77.07,0.0,77.07,Meta
ORD-000045,2024-01-01,27.12,0.0,27.12,Meta
ORD-000046,2024-01-01,30.46,0.0,30.46,Email
ORD-000047,2024-01-01,91.27,0.0,91.27,Direct
ORD-000048,2024-01-01,87.08,0.0,87.08,Google
ORD-000049,2024-01-01,70.81,0.0,70.81,Meta
ORD-000050,2024-01-01,95.11,0.0,95.11,Meta
ORD-000051,2024-01-01,66.88,0.0,66.88,Meta
ORD-000052,2024-01-01,48.09,0.0,48.09,Direct
ORD-000053,2024-01-01,43.18,0.0,43.18,Email
ORD-000054,2024-01-01,82.09,0.0,82.09,Direct
ORD-000055,2024-01-01,61.49,0.0,61.49,Email
ORD-000056,2024-01-01,73.73,0.0,73.73,Meta
ORD-000057,2024-01-01,71.1,0.0,71.1,Google
ORD-000058,2024-01-01,61.23,0.0,61.23,Email
ORD-000059,2024-01-01,49.9,0.0,49.9,Meta
ORD-000060,2024-01-01,68.4,41.54,26.86,Microsoft
ORD-000061,2024-01-01,83.32,0.0,83.32,Google
ORD-000062,2024-01-01,69.01,0.0,69.01,Meta
ORD-000063,2024-01-01,68.87,0.0,68.87,Meta
ORD-000064,2024-01-01,69.09,0.0,69.09,Meta
ORD-000065,2024-01-01,70.3,14.31,55.99,Direct
ORD-000066,2024-01-01,79.61,0.0,79.61,TikTok
ORD-000067,2024-01-02,52.49,0.0,52.49,Google
ORD-000068,2024-01-02,99.76,0.0,99.76,Meta
ORD-000069,2024-01-02,48.91,0.0,48.91,Google
ORD-000070,2024-01-02,41.51,0.0,41.51,Meta
ORD-000071,2024-01-02,86.94,0.0,86.94,Meta
ORD-000072,2024-01-02,46.04,0.0,46.04,Google
ORD-000073,2024-01-02,71.21,0.0,71.21,Email
ORD-000074,2024-01-02,71.93,0.0,71.93,Google
ORD-000075,2024-01-02,72.34,54.1,18.24,Google
ORD-000076,2024-01-02,60.99,0.0,60.99,Direct
ORD-000077,2024-01-02,61.01,0.0,61.01,Google
ORD-000078,2024-01-02,70.89,0.0,70.89,Email
ORD-000079,2024-01-02,49.57,0.0,49.57,Google
ORD-000080,2024-01-02,95.77,0.0,95.77,Google
ORD-000081,2024-01-02,68.83,0.0,68.83,Meta
ORD-000082,2024-01-02,46.45,0.0,46.45,TikTok
ORD-000083,2024-01-02,62.27,0.0,62.27,Google
ORD-000084,2024-01-02,54.72,0.0,54.72,Google
ORD-000085,2024-01-02,64.19,0.0,64.19,Direct
ORD-000086,2024-01-02,28.01,0.0,28.01,TikTok
ORD-000087,2024-01-02,71.19,23.38,47.81,Email
ORD-000088,2024-01-02,78.66,0.0,78.66,Meta
ORD-000089,2024-01-02,68.91,0.0,68.91,Direct
ORD-000090,2024-01-02,79.64,0.0,79.64,Meta
ORD-000091,2024-01-02,86.3,81.48,4.82,Meta
ORD-000092,2024-01-02,39.47,0.0,39.47,Google
ORD-000093,2024-01-02,85.08,0.0,85.08,Google
ORD-000094,2024-01-02,55.46,0.0,55.46,TikTok
ORD-000095,2024-01-02,52.68,0.0,52.68,TikTok
ORD-000096,2024-01-02,65.19,0.0,65.19,Meta
ORD-000097,2024-01-02,63.47,0.0,63.47,Direct
ORD-000098,2024-01-02,75.96,0.0,75.96,Meta
ORD-000099,2024-01-02,85.77,0.0,85.77,Email
ORD-000100,2024-01-02,68.88,0.0,68.88,Google
ORD-000101,2024-01-02,78.28,0.0,78.28,Google
ORD-000102,2024-01-02,103.88,0.0,103.88,Meta
ORD-000103,2024-01-02,74.3,0.0,74.3,Google
ORD-000104,2024-01-02,72.19,0.0,72.19,Direct
ORD-000105,2024-01-02,88.91,0.0,88.91,Google
ORD-000106,2024-01-02,66.63,0.0,66.63,TikTok
ORD-000107,2024-01-02,66.24,0.0,66.24,Google
ORD-000108,2024-01-02,100.59,0.0,100.59,Meta
ORD-000109,2024-01-02,81.66,0.0,81.66,Meta
ORD-000110,2024-01-02,67.82,0.0,67.82,Email
ORD-000111,2024-01-02,53.71,0.0,53.71,Google
ORD-000112,2024-01-02,59.83,36.99,22.84,Email
ORD-000113,2024-01-02,95.11,0.0,95.11,Meta
ORD-000114,2024-01-02,74.78,0.0,74.78,Google
ORD-000115,2024-01-02,60.05,0.0,60.05,TikTok
ORD-000116,2024-01-02,44.22,0.0,44.22,Microsoft
ORD-000117,2024-01-02,41.63,0.0,41.63,Email
ORD-000118,2024-01-02,92.42,0.0,92.42,Meta
ORD-000119,2024-01-02,36.91,0.0,36.91,Direct
ORD-000120,2024-01-02,39.82,0.0,39.82,Email
ORD-000121,2024-01-02,58.51,0.0,58.51,Google
ORD-000122,2024-01-02,65.7,0.0,65.7,Meta
ORD-000123,2024-01-02,56.44,0.0,56.44,Google
ORD-000124,2024-01-02,62.87,0.0,62.87,TikTok
ORD-000125,2024-01-02,70.16,0.0,70.16,Google
ORD-000126,2024-01-02,55.74,26.03,29.71,Meta
ORD-000127,2024-01-02,85.73,0.0,85.73,Direct
ORD-000128,2024-01-02,58.98,53.18,5.8,Meta
ORD-000129,2024-01-02,63.84,0.0,63.84,Google
ORD-000130,2024-01-02,69.39,0.0,69.39,Email
ORD-000131,2024-01-02,96.49,0.0,96.49,Google
ORD-000132,2024-01-03,61.15,0.0,61.15,Meta
ORD-000133,2024-01-03,67.5,0.0,67.5,Meta
ORD-000134,2024-01-03,78.9,0.0,78.9,Meta
ORD-000135,2024-01-03,72.67,0.0,72.67,Google
ORD-000136,2024-01-03,60.75,13.38,47.37,Meta
