date,sessions,converting_sessions
2024-01-01,2435,74
2024-01-02,2899,73
2024-01-03,2875,69
2024-01-04,2916,69
2024-01-05,1362,49
2024-01-06,2016,69
2024-01-07,1927,72
2024-01-08,1561,53
2024-01-09,2035,76
2024-01-10,1731,51
2024-01-11,2133,56
2024-01-12,1632,54
2024-01-13,2280,76
2024-01-14,2397,53
2024-01-15,2614,63
2024-01-16,1312,37
2024-01-17,3095,72
2024-01-18,2480,66
2024-01-19,2305,52
2024-01-20,2180,65
2024-01-21,2181,72
2024-01-22,1244,45
2024-01-23,1883,63
2024-01-24,2929,68
2024-01-25,2117,72
2024-01-26,2052,55
2024-01-27,1742,64
2024-01-28,2679,69
2024-01-29,2665,70
2024-01-30,1729,55
2024-01-31,2393,60
2024-02-01,1438,54
2024-02-02,1971,60
2024-02-03,2359,73
2024-02-04,2026,65
2024-02-05,2028,60
2024-02-06,2765,62
2024-02-07,1899,55
2024-02-08,1552,57
2024-02-09,1719,65
2024-02-10,2044,55
2024-02-11,2283,60
2024-02-12,1695,60
2024-02-13,2609,67
2024-02-14,1527,55
2024-02-15,1823,61
2024-02-16,1820,54
2024-02-17,2257,52
2024-02-18,2105,65
2024-02-19,1680,44
2024-02-20,1641,58
2024-02-21,2180,63
2024-02-22,1515,51
2024-02-23,2695,69
2024-02-24,2528,57
2024-02-25,1719,55
2024-02-26,2091,72
2024-02-27,1574,49
2024-02-28,2509,57
2024-02-29,1222,44
2024-03-01,2190,66
2024-03-02,2288,69
2024-03-03,2663,68
2024-03-04,2025,67
2024-03-05,2414,61
2024-03-06,2034,48
2024-03-07,1979,57
2024-03-08,1836,56
2024-03-09,2285,74
2024-03-10,3637,86
2024-03-11,2655,65
2024-03-12,2499,55
2024-03-13,1494,52
2024-03-14,2633,68
2024-03-15,2353,55
2024-03-16,2220,62
2024-03-17,1789,61
2024-03-18,1671,61
2024-03-19,1516,56
2024-03-20,2260,79
2024-03-21,1740,57
2024-03-22,3119,69
2024-03-23,2515,89
2024-03-24,1630,60
2024-03-25,1947,50
2024-03-26,2005,71
2024-03-27,2086,54
2024-03-28,2383,60
2024-03-29,1933,71
2024-03-30,1652,61
