week,cash_sales,paid_spend,cash_mer,break_even_mer,email_attributed_revenue,email_lastclick_share,sms_attributed_revenue,site_sessions,site_orders,site_cvr,organic_sessions,promo_flag,annotation
2024-01-01,185857,44237,4.2014,3.2,46639,0.2509,10251,95732,2089,0.0218,22639,0,
2024-01-08,183474,46006,3.988,3.2,50904,0.2774,8956,92016,1986,0.0216,24063,0,
2024-01-15,190188,45724,4.1595,3.2,54416,0.2861,11232,96755,1974,0.0204,25264,0,
2024-01-22,180745,45174,4.0011,3.2,44501,0.2462,8639,95852,2058,0.0215,23664,0,
2024-01-29,187694,45573,4.1185,3.2,47156,0.2512,8555,91529,1964,0.0215,24324,0,
2024-02-05,191259,45297,4.2223,3.2,42376,0.2216,10656,90575,1964,0.0217,24797,0,
2024-02-12,194143,44774,4.3361,3.2,51835,0.267,8878,95404,2006,0.021,25185,0,
2024-02-19,196289,46286,4.2408,3.2,50206,0.2558,10197,90843,1923,0.0212,25898,0,
2024-02-26,189721,46765,4.0569,3.2,55405,0.292,10075,96101,2087,0.0217,25508,0,
2024-03-04,203549,48573,4.1906,3.2,52747,0.2591,10671,92657,1919,0.0207,25719,0,
2024-03-11,198347,45395,4.3694,3.2,51935,0.2618,9725,89903,1902,0.0212,26347,0,
2024-03-18,204740,47067,4.35,3.2,50402,0.2462,10068,92021,2011,0.0219,28057,0,
2024-03-25,205304,47957,4.281,3.2,53826,0.2622,10604,94108,1982,0.0211,27563,0,
2024-04-01,206783,48304,4.2809,3.2,50988,0.2466,9732,91508,1896,0.0207,27724,0,
2024-04-08,258259,70650,3.6555,3.2,69041,0.2673,15340,104938,2718,0.0259,27876,1,Spring promo: paid up; cash MER compressed
2024-04-15,264282,71943,3.6735,3.2,76738,0.2904,14440,100326,2577,0.0257,27552,1,
2024-04-22,203473,46926,4.336,3.2,49114,0.2414,9370,93210,1978,0.0212,27661,0,
2024-04-29,205551,47007,4.3728,3.2,52848,0.2571,10142,87956,1923,0.0219,28281,0,
2024-05-06,204232,45740,4.4651,3.2,47802,0.2341,9653,89830,1865,0.0208,28974,0,
2024-05-13,220037,48308,4.5549,3.2,55923,0.2542,10779,92980,1989,0.0214,28701,0,
2024-05-20,212147,47661,4.4512,3.2,54789,0.2583,8877,90627,1978,0.0218,28114,0,
2024-05-27,204421,47176,4.3332,3.2,52882,0.2587,10520,91675,1871,0.0204,28339,0,
2024-06-03,197353,48519,4.0675,3.2,55543,0.2814,10761,95820,2036,0.0212,27499,0,
2024-06-10,205073,47882,4.2829,3.2,52290,0.255,10502,91946,1997,0.0217,27021,0,
2024-06-17,208242,46606,4.4681,3.2,47406,0.2276,10959,93587,2053,0.0219,26696,0,
2024-06-24,201769,46279,4.3598,3.2,55874,0.2769,11031,92338,1963,0.0213,27164,0,
2024-07-01,193703,48319,4.0088,3.2,47801,0.2468,8892,94750,1983,0.0209,25932,0,
2024-07-08,199081,46056,4.3226,3.2,44319,0.2226,10877,88009,1875,0.0213,25398,0,
2024-07-15,192745,46069,4.1838,3.2,52341,0.2716,9371,94493,1981,0.021,26014,0,
2024-07-22,194634,45868,4.2434,3.2,48864,0.2511,9286,92701,1971,0.0213,25289,0,
2024-07-29,190929,47755,3.9981,3.2,48602,0.2546,9901,94962,2033,0.0214,23903,0,
2024-08-05,192984,46553,4.1455,3.2,48140,0.2495,9778,92724,2004,0.0216,25068,0,
2024-08-12,188002,46362,4.0551,3.2,49094,0.2611,10166,97775,2061,0.0211,24232,0,
2024-08-19,192122,46147,4.1633,3.2,45941,0.2391,10707,95594,2014,0.0211,22797,0,
2024-08-26,190436,44999,4.232,3.2,49728,0.2611,9802,97606,2141,0.0219,21269,0,
2024-09-02,189250,47058,4.0216,3.2,54848,0.2898,10370,99266,2080,0.021,22121,0,
2024-09-09,177672,47613,3.7316,3.2,52810,0.2972,11210,89873,1881,0.0209,22058,0,
2024-09-16,186297,47382,3.9318,3.2,52155,0.28,10133,96218,1933,0.0201,23531,0,
2024-09-23,181979,48443,3.7566,3.2,53369,0.2933,10005,95642,1998,0.0209,22677,0,
2024-09-30,178158,48654,3.6617,3.2,50579,0.2839,10653,92899,1968,0.0212,20156,0,
2024-10-07,182739,49329,3.7045,3.2,51076,0.2795,9861,93947,2009,0.0214,22080,0,
2024-10-14,178035,48599,3.6633,3.2,50943,0.2861,9637,98349,2049,0.0208,23509,0,
2024-10-21,184252,48072,3.8328,3.2,50623,0.2747,11302,96101,1905,0.0198,23126,0,
2024-10-28,176567,47413,3.724,3.2,53321,0.302,10171,93829,1951,0.0208,20512,0,
2024-11-04,179020,47489,3.7697,3.2,46719,0.261,9636,94849,1935,0.0204,22698,0,
2024-11-11,175783,47043,3.7366,3.2,50005,0.2845,8872,94698,1991,0.021,20504,0,
2024-11-18,230837,71456,3.2305,3.2,68132,0.2952,12993,104890,2750,0.0262,21901,1,
2024-11-25,236969,71084,3.3336,3.2,69174,0.2919,14711,102972,2696,0.0262,21492,1,BFCM 2024: promo on; MER at trough
2024-12-02,235824,70820,3.3299,3.2,69380,0.2942,13750,102029,2535,0.0248,22343,1,
2024-12-09,192497,47293,4.0703,3.2,48497,0.2519,9678,94230,1960,0.0208,23660,0,
2024-12-16,190006,45672,4.1602,3.2,44400,0.2337,8754,99320,2162,0.0218,23549,0,
2024-12-23,180081,47374,3.8013,3.2,50321,0.2794,8494,95907,2136,0.0223,23053,0,
2024-12-30,182725,45910,3.9801,3.2,46712,0.2556,10699,99418,2109,0.0212,25663,0,
2025-01-06,198886,48537,4.0976,3.2,54259,0.2728,8953,96810,2051,0.0212,23539,0,
2025-01-13,199962,48547,4.1189,3.2,50730,0.2537,9115,94996,1963,0.0207,25388,0,
2025-01-20,198278,47533,4.1714,3.2,47573,0.2399,9805,98806,2104,0.0213,24812,0,
2025-01-27,206086,47659,4.3242,3.2,51227,0.2486,10370,96889,1992,0.0206,25123,0,
2025-02-03,201638,47570,4.2388,3.2,51174,0.2538,9817,98412,2076,0.0211,25914,0,
2025-02-10,199363,49290,4.0447,3.2,53490,0.2683,10189,99358,2199,0.0221,25541,0,
2025-02-17,200271,48211,4.1541,3.2,49227,0.2458,10443,97416,2046,0.021,26506,0,
