week,week_start,y_cash,x_search_index,x_category_demand,true_treated,true_lift
1,2024-01-01,59123.155812127705,101.04167912193789,87.37094607596318,0,0.0
2,2024-01-08,57993.46471381593,103.08582619799942,82.65559883103651,0,0.0
3,2024-01-15,54350.07375307358,104.84839866810222,84.80365779988064,0,0.0
4,2024-01-22,59120.01333059447,105.63388200234527,83.61574623614295,0,0.0
5,2024-01-29,56379.76397266418,104.80268624515789,84.20591523199167,0,0.0
6,2024-02-05,55885.6125969624,106.3344327243182,83.79951238653705,0,0.0
7,2024-02-12,60433.607976751206,108.62178702170203,82.42177635271372,0,0.0
8,2024-02-19,56989.74752422332,106.62686710479647,84.39433370865724,0,0.0
9,2024-02-26,56068.37539768754,107.24831783955294,84.18331436726616,0,0.0
10,2024-03-04,53508.41676745406,110.15855907627446,80.03115040826512,0,0.0
11,2024-03-11,54417.48361594986,112.63752089611242,83.75475590193935,0,0.0
12,2024-03-18,57274.568344289764,103.52899679520768,83.09758523102121,0,0.0
13,2024-03-25,58184.41560921561,109.7624059655732,84.0963914726861,0,0.0
14,2024-04-01,58411.362472088986,108.48660163508386,81.10051644160299,0,0.0
15,2024-04-08,55961.809892970094,110.46401187510612,81.87338404533375,0,0.0
16,2024-04-15,56291.64485488697,109.06465558250932,79.25221261338986,0,0.0
17,2024-04-22,58680.08810652932,109.31480877519425,78.38223055710715,0,0.0
18,2024-04-29,54961.84736309968,110.0061147097968,80.5686698398727,0,0.0
19,2024-05-06,53283.87949320718,109.1738548902043,77.71443340247762,0,0.0
20,2024-05-13,57504.486500968684,109.644419851651,77.17882506019794,0,0.0
21,2024-05-20,57986.305127772386,106.69834999365304,77.82978773853768,0,0.0
22,2024-05-27,53895.628988750876,105.12456927917832,77.5403824540329,0,0.0
23,2024-06-03,61109.67400506058,102.85434328761895,76.48133507246395,0,0.0
24,2024-06-10,56037.95332397501,105.25247452148909,78.37702581359441,0,0.0
25,2024-06-17,55565.7112151146,104.20767634686572,77.42599201093631,0,0.0
26,2024-06-24,59987.73158404139,103.15494721137227,78.00914384339983,0,0.0
27,2024-07-01,55840.64842012234,103.79161513094894,78.502038096171,0,0.0
28,2024-07-08,55488.615726720745,100.43491052998952,78.98414258918376,0,0.0
29,2024-07-15,54114.948043387776,100.65530889827616,77.36730489361533,0,0.0
30,2024-07-22,58446.815099807354,102.64349800648232,79.78400121947531,0,0.0
31,2024-07-29,55388.198900000985,98.15114003473724,81.70228258499236,0,0.0
